specification,year,observations,n_reduction,n_addition,n_boundary,country_balance,gross_reduction_twh,gross_addition_twh,net_contraction_twh,observed_net_contraction_twh,physical_balance,scale_gap,direction_reversal,reduction_contributors,reduction_hhi,reduction_effective_contributors,reduction_top1_share,reduction_top3_share,addition_contributors,addition_hhi,addition_effective_contributors,addition_top1_share,addition_top3_share
primary,2000,19,2,17,0,-0.7894736842,67.82566452,317.3236275,-249.497963,-249.497963,-0.6477954605,-0.1416782237,False,2,0.942209477,1.061335111,0.9702177565,1,17,0.1204141553,8.304671471,0.2790262631,0.4557706644
primary,2001,19,6,13,0,-0.3684210526,49.77008819,160.289938,-110.5198498,-110.5198498,-0.5261346092,0.1577135566,False,6,0.2679257534,3.7323773,0.3737204079,0.8348405334,13,0.2242686522,4.458937931,0.4322786437,0.6418988266
primary,2002,19,5,14,0,-0.4736842105,15.46001434,337.33004,-321.8700256,-321.8700256,-0.9123557246,0.4386715141,False,5,0.234785167,4.25921285,0.3247089013,0.7839582999,14,0.2506523929,3.989588882,0.4591349318,0.6833964487
primary,2003,19,1,18,0,-0.8947368421,2.049999237,491.4799957,-489.4299965,-489.4299965,-0.991692504,0.09695566186,False,1,1,1,1,1,18,0.2719601728,3.677008988,0.4933873043,0.6732724958
primary,2004,19,5,14,0,-0.4736842105,42.75999069,374.100048,-331.3400573,-331.3400573,-0.7948472546,0.3211630441,False,5,0.4673348489,2.139793346,0.6428904634,0.965154303,14,0.3688427573,2.711182421,0.5759156524,0.8024593282
primary,2005,19,2,17,0,-0.7894736842,3.669998169,471.939949,-468.2699508,-468.2699508,-0.9845671934,0.1950935092,False,2,0.7766701107,1.287547939,0.8719342084,1,17,0.3165190611,3.15936739,0.5241980789,0.7700554331
primary,2006,19,5,14,0,-0.4736842105,49.25986099,445.4998398,-396.2399788,-396.2399788,-0.8008735921,0.3271893816,False,5,0.2993835452,3.340196934,0.4344288009,0.8650016956,14,0.5298520314,1.887319366,0.7213467539,0.8340290642
primary,2007,19,1,18,0,-0.8947368421,1.75,713.6599884,-711.9099884,-711.9099884,-0.9951077004,0.1003708583,False,1,1,1,1,1,18,0.2837874044,3.523764566,0.496791252,0.7257937661
primary,2008,19,8,11,0,-0.1578947368,105.0600433,196.4500694,-91.39002609,-91.39002609,-0.3031076644,0.1452129276,False,8,0.4029560025,2.481660513,0.6094612877,0.8279079157,11,0.1503388332,6.651641355,0.2218888902,0.5692035064
primary,2009,19,12,7,0,0.2631578947,499.4399719,318.4299164,181.0100555,181.0100555,0.2213188896,0.04183900514,False,12,0.2187810515,4.57077975,0.3980459314,0.6877903834,7,0.502272896,1.990949557,0.6843261292,0.8959895916
primary,2010,19,2,17,0,-0.7894736842,2.130004883,783.920124,-781.7901192,-781.7901192,-0.9945804859,0.2051068017,False,2,0.5080334296,1.968374406,0.5633775574,1,17,0.2711579905,3.687886896,0.4666803118,0.7254440447
primary,2011,19,6,13,0,-0.3684210526,147.9600296,729.1598663,-581.1998367,-581.1998367,-0.6626230227,0.2942019701,False,6,0.4495112808,2.224638274,0.6323333325,0.912003336,13,0.4683023012,2.135372808,0.6684403858,0.8586729635
primary,2012,19,7,12,0,-0.2631578947,53.79992294,388.1100044,-334.3100815,-334.3100815,-0.7565118156,0.4933539209,False,7,0.1794579566,5.572335823,0.2302977163,0.6295532962,12,0.212071102,4.715399649,0.3859472219,0.6990285864
