replication,country_balance,physical_balance,scale_gap,direction_reversal
1,-0.2463157895,-0.7337618591,0.4874460696,False
2,-0.2463157895,-0.5094571002,0.2631413107,False
3,-0.3094736842,-0.5914833678,0.2820096835,False
4,-0.2,-0.367048747,0.167048747,False
5,-0.1578947368,-0.3525277777,0.1946330409,False
6,-0.1621052632,-0.1892105205,0.02710525735,False
7,-0.2505263158,-0.2320599802,-0.01846633562,False
8,-0.28,-0.2978029892,0.01780298925,False
9,-0.2926315789,-0.6032849373,0.3106533583,False
10,-0.2757894737,-0.5781622834,0.3023728097,False
11,-0.1326315789,-0.04113434446,-0.09149723448,False
12,-0.3178947368,-0.7142602734,0.3963655366,False
13,-0.2252631579,-0.6106301544,0.3853669965,False
14,-0.2378947368,-0.7521949589,0.5143002221,False
15,-0.2210526316,-0.1041384524,-0.1169141792,False
16,-0.3305263158,-0.7062621019,0.3757357861,False
17,-0.1789473684,-0.5792450269,0.4002976585,False
18,-0.2421052632,-0.2684703388,0.02636507561,False
19,-0.2421052632,-0.6246791059,0.3825738427,False
20,-0.3263157895,-0.7556039228,0.4292881333,False
21,-0.2505263158,-0.09770320673,-0.1528231091,False
22,-0.3684210526,-0.4632851627,0.09486411008,False
23,-0.28,-0.4682242162,0.1882242162,False
24,-0.3221052632,-0.2613015067,-0.06080375645,False
25,-0.09052631579,-0.2208128271,0.1302865113,False
26,-0.08631578947,-0.09439297944,0.008077189964,False
27,-0.2884210526,-0.5684474154,0.2800263627,False
28,-0.3136842105,-0.3130615992,-0.0006226113199,False
29,-0.3010526316,-0.5380390204,0.2369863888,False
30,-0.2968421053,-0.2613790559,-0.03546304937,False
31,-0.06526315789,-0.01436307413,-0.05090008376,False
32,-0.2842105263,-0.4388690577,0.1546585314,False
33,-0.2463157895,-0.6046377357,0.3583219462,False
34,-0.44,-0.6093906801,0.1693906801,False
35,-0.3221052632,-0.7430624445,0.4209571813,False
36,-0.2715789474,-0.3927551547,0.1211762074,False
