country,iso_code,years_reduction,years_addition,years_boundary,gross_reduction_twh,gross_addition_twh,net_contraction_twh,reduction_share,addition_share
United States,USA,14,11,0,989.065918,778.5102539,210.5556641,0.3008596824,0.07504846131
United Kingdom,GBR,13,12,0,241.8899689,78.1399765,163.7499924,0.07357946309,0.007532701045
Germany,DEU,12,13,0,269.1499939,123.7200012,145.4299927,0.08187157217,0.01192661969
Italy,ITA,11,14,0,183.8700104,109.260025,74.60998535,0.05593062294,0.01053267663
France,FRA,13,12,0,96.7400055,73.81000519,22.93000031,0.02942692373,0.007115291406
Canada,CAN,15,10,0,76.30001068,69.45935821,6.840652466,0.02320937014,0.00669588863
Australia,AUS,12,13,0,60.61001587,54.41911316,6.190902711,0.0184366985,0.005246007599
South Africa,ZAF,13,12,0,67.53999329,89.62799072,-22.08799744,0.02054469835,0.008640146691
Argentina,ARG,9,16,0,44.44000625,82.39087296,-37.95086671,0.01351801323,0.007942487861
Japan,JPN,14,11,0,454.4298706,503.2620239,-48.83215328,0.1382310562,0.04851450619
Brazil,BRA,13,12,0,180.0900002,229.7652874,-49.67528726,0.05478079799,0.0221493952
Türkiye,TUR,10,15,0,104.6900024,208.7400055,-104.0500031,0.0318451989,0.02012255606
Mexico,MEX,6,19,0,56.16000366,182.8532562,-126.6932526,0.01708306854,0.01762707101
Russia,RUS,6,19,0,155.0400391,368.9030151,-213.8629761,0.0471609587,0.03556228517
South Korea,KOR,7,18,0,101.1199951,324.1152801,-222.995285,0.03075925382,0.03124474333
Indonesia,IDN,1,24,0,8.470001221,243.1520309,-234.6820297,0.002576453026,0.02343987853
Saudi Arabia,SAU,2,23,0,20.54002381,334.3606567,-313.8206329,0.006247980976,0.03223239859
India,IND,2,23,0,54.85998535,1184.04303,-1129.183044,0.01668762159,0.1141418588
China,CHN,1,24,0,122.4599609,5334.901733,-5212.441772,0.03725056568,0.5142850262
