omitted_country,omitted_iso_code,observations,n_reduction,n_addition,n_boundary,country_balance,gross_reduction_twh,gross_addition_twh,net_contraction_twh,observed_net_contraction_twh,physical_balance,scale_gap,direction_reversal
Argentina,ARG,450,165,285,0,-0.2666666667,3243.025799,10291.04304,-7048.017244,-7048.017244,-0.5207611493,0.2540944826,False
Australia,AUS,450,162,288,0,-0.28,3226.855789,10319.0148,-7092.159014,-7092.159014,-0.5235661278,0.2435661278,False
Brazil,BRA,450,161,289,0,-0.2844444444,3107.375805,10143.66863,-7036.292824,-7036.292824,-0.5309991117,0.2465546673,False
Canada,CAN,450,159,291,0,-0.2933333333,3211.165794,10303.97456,-7092.808764,-7092.808764,-0.5248046693,0.231471336,False
China,CHN,450,173,277,0,-0.2311111111,3165.005844,5038.532183,-1873.526339,-1873.526339,-0.2283802833,-0.002730827818,False
Germany,DEU,450,162,288,0,-0.28,3018.315811,10249.71391,-7231.398104,-7231.398104,-0.5450242616,0.2650242616,False
France,FRA,450,161,289,0,-0.2844444444,3190.7258,10299.62391,-7108.898111,-7108.898111,-0.5269617366,0.2425172922,False
United Kingdom,GBR,450,161,289,0,-0.2844444444,3045.575836,10295.29394,-7249.718103,-7249.718103,-0.5434216978,0.2589772533,False
Indonesia,IDN,450,173,277,0,-0.2311111111,3278.995804,10130.28189,-6851.286081,-6851.286081,-0.5109362518,0.2798251407,False
India,IND,450,172,278,0,-0.2355555556,3232.60582,9189.390886,-5956.785067,-5956.785067,-0.4795352315,0.243979676,False
Italy,ITA,450,163,287,0,-0.2755555556,3103.595795,10264.17389,-7160.578096,-7160.578096,-0.5356598943,0.2601043387,False
Japan,JPN,450,160,290,0,-0.2888888889,2833.035934,9870.171892,-7037.135958,-7037.135958,-0.5539652703,0.2650763814,False
South Korea,KOR,450,167,283,0,-0.2577777778,3186.34581,10049.31864,-6862.972826,-6862.972826,-0.5185212162,0.2607434384,False
Mexico,MEX,450,168,282,0,-0.2533333333,3231.305801,10190.58066,-6959.274858,-6959.274858,-0.5185019914,0.2651686581,False
Russia,RUS,450,168,282,0,-0.2533333333,3132.425766,10004.5309,-6872.105135,-6872.105135,-0.5231124155,0.2697790822,False
Saudi Arabia,SAU,450,172,278,0,-0.2355555556,3266.925781,10039.07326,-6772.147478,-6772.147478,-0.5089544541,0.2733988986,False
Türkiye,TUR,450,164,286,0,-0.2711111111,3182.775803,10164.69391,-6981.918108,-6981.918108,-0.523089264,0.2519781528,False
United States,USA,450,160,290,0,-0.2888888889,2298.399887,9594.923662,-7296.523775,-7296.523775,-0.6134974589,0.32460857,False
South Africa,ZAF,450,161,289,0,-0.2844444444,3219.925812,10283.80593,-7063.880114,-7063.880114,-0.5231057793,0.2386613348,False
