specification,period,observations,n_reduction,n_addition,n_boundary,country_balance,gross_reduction_twh,gross_addition_twh,net_contraction_twh,observed_net_contraction_twh,physical_balance,scale_gap,direction_reversal,reduction_contributors,reduction_hhi,reduction_effective_contributors,reduction_top1_share,reduction_top3_share,addition_contributors,addition_hhi,addition_effective_contributors,addition_top1_share,addition_top3_share
primary,2000–2004,95,19,76,0,-0.6,177.865757,1680.523649,-1502.657892,-1502.657892,-0.8085807459,0.2085807459,False,11,0.2963817228,3.374027219,0.4745475641,0.7882110496,19,0.2352127901,4.251469488,0.4585782602,0.6122286262
primary,2005–2009,95,28,67,0,-0.4105263158,659.1798744,2145.979763,-1486.799889,-1486.799889,-0.5300232717,0.1194969559,False,14,0.2319731101,4.310844474,0.4311872851,0.6683910142,19,0.3268860287,3.059170207,0.5520974323,0.7161529754
primary,2010–2014,95,34,61,0,-0.2842105263,480.0800476,2710.180084,-2230.100037,-2230.100037,-0.6990339171,0.4148233908,False,15,0.1508152991,6.630627037,0.283869388,0.5915888635,19,0.2934767264,3.407425223,0.5135452278,0.7099897248
primary,2015–2019,95,48,47,0,0.01052631579,968.7501793,1669.980026,-701.229847,-701.229847,-0.2657451851,0.2762715009,True,18,0.147273122,6.790105256,0.2941214174,0.571385857,17,0.3184889785,3.139826078,0.5332697342,0.7561227926
primary,2020–2024,95,45,50,0,-0.05263157895,1001.589947,2166.770393,-1165.180447,-1165.180447,-0.3677550283,0.3151234494,False,17,0.09530974888,10.49210613,0.1989037244,0.4242953332,19,0.2961823012,3.376298976,0.5063343836,0.7464659916
threshold_010,2000–2004,95,19,76,0,-0.6,177.865757,1680.523649,-1502.657892,-1502.657892,-0.8085807459,0.2085807459,False,11,0.2963817228,3.374027219,0.4745475641,0.7882110496,19,0.2352127901,4.251469488,0.4585782602,0.6122286262
threshold_010,2005–2009,95,27,65,3,-0.4130434783,658.959877,2145.789776,-1486.829899,-1486.799889,-0.5301114477,0.1170679694,False,14,0.2321048128,4.308398383,0.4313312394,0.6686141602,19,0.3269423255,3.058643443,0.5521463148,0.7162163832
threshold_010,2010–2014,95,34,60,1,-0.2765957447,480.0800476,2710.160088,-2230.08004,-2230.100037,-0.6990320307,0.422436286,False,15,0.1508152991,6.630627037,0.283869388,0.5915888635,19,0.2934809464,3.407376228,0.513549017,0.7099949634
threshold_010,2015–2019,95,46,46,3,0,967.8901634,1669.639999,-701.749836,-701.229847,-0.2660632458,0.2660632458,False,18,0.147443197,6.782272906,0.2943827581,0.5718935601,17,0.3186146474,3.138587658,0.533378336,0.7562767791
threshold_010,2020–2024,95,43,48,4,-0.05494505495,1001.379948,2166.180389,-1164.800442,-1165.180447,-0.3677279413,0.3127828864,False,17,0.0953360303,10.48921375,0.1989454364,0.4243843121,19,0.2963389742,3.374513942,0.5064722943,0.746669307
threshold_025,2000–2004,95,18,73,4,-0.6043956044,176.9157562,1677.983671,-1501.067915,-1502.657892,-0.8092449072,0.2048493028,False,11,0.2991705107,3.342575435,0.4770957857,0.7924435788,19,0.2358480622,4.240017877,0.459272414,0.6131553618
threshold_025,2005–2009,95,25,64,6,-0.4382022472,658.25988,2145.359783,-1487.099903,-1486.799889,-0.5304214129,0.09221916576,False,13,0.2325496442,4.300157085,0.4317899192,0.6693251679,19,0.327070684,3.057443081,0.552256981,0.7163599339
threshold_025,2010–2014,95,31,58,6,-0.3033707865,468.5301437,2703.720039,-2235.189896,-2230.100037,-0.7046070665,0.40123628,False,14,0.1463451344,6.833161924,0.2697160874,0.5850212656,19,0.2946228994,3.394169299,0.5147722503,0.7116861155
threshold_025,2015–2019,95,42,46,7,-0.04545454545,961.8901787,1669.639999,-707.7498208,-701.229847,-0.2689499162,0.2234953707,False,17,0.149128179,6.705640788,0.2962190301,0.575460862,17,0.3186146474,3.138587658,0.533378336,0.7562767791
threshold_025,2020–2024,95,42,48,5,-0.06666666667,1000.619938,2166.180389,-1165.560452,-1165.180447,-0.3680561864,0.3013895197,False,17,0.09544146696,10.47762605,0.1990965432,0.4247066485,19,0.2963389742,3.374513942,0.5064722943,0.746669307
